execution,points,h,w,CS_of,CS_time
6,5046,4,16,78.40625,3528.66
7,5046,4,16,78.70313,3041.21
8,5046,4,16,77.53125,3420.07
9,5046,4,16,78.14063,3352.18
10,5046,4,16,78.57813,3552.92
1,5046,4,18,102.98611,3596.78
2,5046,4,18,103.86111,3293.03
3,5046,4,18,102.77779,3441.25
4,5046,4,18,103.43056,3397.72
5,5046,4,18,103.73612,3362.34
6,5046,4,18,104.33333,3205.91
7,5046,4,18,103.08334,3449.73
8,5046,4,18,102.95835,3390.43
9,5046,4,18,103.45834,3261.68
10,5046,4,18,104.26389,3476.37
1,5046,4,21,146.83332,2620.18
2,5046,4,21,145.85713,3482.24
3,5046,4,21,146.5238,3029.58
4,5046,4,21,146.65476,2734.39
5,5046,4,21,147.0119,3467.87
6,5046,4,21,147.77381,2838.75
7,5046,4,21,147.99998,3153.92
8,5046,4,21,147.11904,3301.82
9,5046,4,21,147.14285,3472.68
10,5046,4,21,147.08333,3219.75
1,5046,4,24,198.89584,3218.71
2,5046,4,24,198.48959,3566.95
3,5046,4,24,197.51043,2944.57
4,5046,4,24,200.65626,2927.63
5,5046,4,24,200.08335,3421.62
6,5046,4,24,199.6146,2359.69
7,5046,4,24,197.71876,3536.28
8,5046,4,24,200.26043,3126.92
9,5046,4,24,198.33333,2948.76
10,5046,4,24,198.96875,3572.92
1,13206,2,24,95.791679,2939.14
2,13206,2,24,98.354184,2981.99
3,13206,2,24,96.604173,3578.86
4,13206,2,24,100.666669,3028.32
5,13206,2,24,97.18751,2109.08
6,13206,2,24,98.104172,3546.49
7,13206,2,24,97.666674,3350.04
8,13206,2,24,97.625007,3539.65
9,13206,2,24,96.854179,3403.22
10,13206,2,24,98.666675,3574.12
1,13206,2,32,239.875,3555.43
2,13206,2,32,237.96875,3113.19
3,13206,2,32,239.45313,3502.52
4,13206,2,32,238.70313,3537.24
5,13206,2,32,238.51563,3531.14
6,13206,2,32,240.9375,3517.09
7,13206,2,32,242.6875,3225.71
8,13206,2,32,239.29688,3568.19
9,13206,2,32,238.35938,3541.53
10,13206,2,32,241.5625,3126.32
1,13206,2,42,498.77379,3567.82
2,13206,2,42,496.54761,3589.44
3,13206,2,42,498.04762,3521.73
4,13206,2,42,503.14287,3524.0
5,13206,2,42,497.72617,3596.35
6,13206,2,42,499.38095,3586.71
7,13206,2,42,500.42856,3582.28
8,13206,2,42,502.44046,3538.2
9,13206,2,42,499.19048,3588.18
10,13206,2,42,500.34522,3569.58
1,13206,2,48,688.89583,3585.93
2,13206,2,48,686.30208,3557.37
3,13206,2,48,688.34377,3577.91
4,13206,2,48,690.60418,3577.13
5,13206,2,48,692.66667,3585.85
6,13206,2,48,690.70831,3571.28
7,13206,2,48,688.83334,3598.27
8,13206,2,48,690.58334,3580.19
9,13206,2,48,689.56251,3598.77
10,13206,2,48,689.35416,3568.24
1,13206,3,16,145.20836,2495.77
2,13206,3,16,145.72917,2373.45
3,13206,3,16,147.12503,3367.23
4,13206,3,16,147.66668,3154.04
5,13206,3,16,147.16669,3129.52
6,13206,3,16,148.10419,3539.33
7,13206,3,16,147.62502,3570.85
8,13206,3,16,147.16668,3275.87
9,13206,3,16,145.83335,3361.79
10,13206,3,16,145.00002,3467.28
1,13206,3,24,455.0139,3587.82
2,13206,3,24,453.62504,3489.49
3,13206,3,24,454.91669,3569.98
4,13206,3,24,458.15281,3566.42
5,13206,3,24,455.62503,3586.84
6,13206,3,24,456.5417,3553.92
7,13206,3,24,456.33337,3505.33
8,13206,3,24,455.58337,3537.82
9,13206,3,24,459.52781,3595.01
10,13206,3,24,456.84726,3574.95
1,13206,3,28,653.66669,3591.08
2,13206,3,28,654.77382,3474.54
3,13206,3,28,653.19049,3446.76
4,13206,3,28,653.89287,3598.22
5,13206,3,28,654.64287,3579.8
6,13206,3,28,656.45239,3575.17
7,13206,3,28,656.64285,3549.43
8,13206,3,28,656.95238,3575.76
9,13206,3,28,659.36907,3573.67
10,13206,3,28,655.95241,3575.59
1,13206,3,32,876.63547,3597.45
2,13206,3,32,872.92711,3597.98
3,13206,3,32,877.9688,3565.39
4,13206,3,32,879.93754,3570.05
5,13206,3,32,879.8438,3572.28
6,13206,3,32,879.6146,3561.66
7,13206,3,32,881.4896,3586.79
8,13206,3,32,881.25002,3593.36
9,13206,3,32,882.12503,3599.94
10,13206,3,32,882.68753,3579.29
1,13206,4,16,394.875,3344.76
2,13206,4,16,393.125,3517.77
3,13206,4,16,393.98438,3581.49
4,13206,4,16,397.4375,3513.63
5,13206,4,16,398.90625,3478.76
6,13206,4,16,395.67188,3574.2
7,13206,4,16,395.09375,3431.26
8,13206,4,16,394.89063,3576.9
9,13206,4,16,397.75,3546.39
10,13206,4,16,396.65625,3402.13
1,13206,4,18,528.94447,3573.89
